<TICKER>;<PER>;<DATE>;<TIME>;<OPEN>;<HIGH>;<LOW>;<CLOSE>;<VOL>
EURUSD;D;20170407;000000;1.0643800;1.0667200;1.0578000;1.0589500;1511076
EURUSD;D;20170409;000000;1.0595000;1.0602000;1.0578100;1.0586800;3653
EURUSD;D;20170410;000000;1.0586400;1.0606700;1.0568000;1.0595300;1122458
EURUSD;D;20170411;000000;1.0594400;1.0630100;1.0576000;1.0604500;1265376
EURUSD;D;20170412;000000;1.0603800;1.0675100;1.0587000;1.0663700;1356274
EURUSD;D;20170413;000000;1.0662400;1.0677700;1.0607700;1.0613100;1320494
EURUSD;D;20170414;000000;1.0613000;1.0630000;1.0604000;1.0610700;698974
EURUSD;D;20170415;000000;1.0610100;1.0611700;1.0610100;1.0611700;7
EURUSD;D;20170416;000000;1.0613000;1.0619000;1.0608400;1.0615600;1265
EURUSD;D;20170417;000000;1.0615000;1.0670500;1.0600800;1.0642400;837449
EURUSD;D;20170418;000000;1.0642400;1.0736000;1.0635000;1.0730400;1415383
EURUSD;D;20170419;000000;1.0730500;1.0736900;1.0698000;1.0710100;1232198
EURUSD;D;20170420;000000;1.0711000;1.0777600;1.0706000;1.0716800;1254431
EURUSD;D;20170421;000000;1.0716800;1.0738100;1.0680000;1.0724600;1226167
EURUSD;D;20170423;000000;1.0879500;1.0933400;1.0874600;1.0917500;3466
EURUSD;D;20170424;000000;1.0918500;1.0918500;1.0818000;1.0867100;1692940
EURUSD;D;20170425;000000;1.0867000;1.0950000;1.0849000;1.0925100;1307724
EURUSD;D;20170426;000000;1.0924500;1.0950900;1.0855000;1.0903200;1408596
EURUSD;D;20170427;000000;1.0902900;1.0932900;1.0849000;1.0872200;1377925
EURUSD;D;20170428;000000;1.0871100;1.0947500;1.0855000;1.0892600;1380435
EURUSD;D;20170429;000000;1.0892000;1.0893200;1.0892000;1.0893200;8
EURUSD;D;20170430;000000;1.0898000;1.0917000;1.0893100;1.0910000;1126
EURUSD;D;20170501;000000;1.0910100;1.0924100;1.0882900;1.0898100;841551
EURUSD;D;20170502;000000;1.0898200;1.0933200;1.0886000;1.0928000;1183322
EURUSD;D;20170503;000000;1.0928300;1.0937000;1.0880000;1.0883600;1314767
EURUSD;D;20170504;000000;1.0883600;1.0987300;1.0873000;1.0984300;1552650
EURUSD;D;20170505;000000;1.0983600;1.1000000;1.0947100;1.0996000;1500110
EURUSD;D;20170506;000000;1.0996000;1.0996000;1.0994000;1.0995000;4
EURUSD;D;20170507;000000;1.0997000;1.1022200;1.0995000;1.1017000;6186
EURUSD;D;20170508;000000;1.1019000;1.1023500;1.0915000;1.0923700;1521665
EURUSD;D;20170509;000000;1.0923200;1.0933500;1.0861000;1.0873000;1465151
EURUSD;D;20170510;000000;1.0871500;1.0898200;1.0851000;1.0866300;1419871
EURUSD;D;20170511;000000;1.0865400;1.0893100;1.0837000;1.0860700;1339652
EURUSD;D;20170512;000000;1.0858500;1.0934300;1.0854000;1.0928000;1310771
EURUSD;D;20170513;000000;1.0929000;1.0929600;1.0926000;1.0926000;60
EURUSD;D;20170514;000000;1.0921000;1.0930400;1.0920000;1.0929600;3671
EURUSD;D;20170515;000000;1.0929200;1.0990000;1.0920000;1.0975200;1301573
EURUSD;D;20170516;000000;1.0974300;1.1097400;1.0971000;1.1082400;1523591
EURUSD;D;20170517;000000;1.1081300;1.1162200;1.1077500;1.1158500;1774347
EURUSD;D;20170518;000000;1.1157300;1.1174300;1.1074000;1.1103000;2054347
EURUSD;D;20170519;000000;1.1100900;1.1212200;1.1094000;1.1205600;1534216
EURUSD;D;20170520;000000;1.1202000;1.1206000;1.1202000;1.1204000;5
EURUSD;D;20170521;000000;1.1198000;1.1206500;1.1183000;1.1192200;1613
EURUSD;D;20170522;000000;1.1194500;1.1263500;1.1159000;1.1236700;1538799
EURUSD;D;20170523;000000;1.1237000;1.1268300;1.1172000;1.1181700;1832771
EURUSD;D;20170524;000000;1.1180800;1.1220100;1.1166000;1.1217600;1695564
EURUSD;D;20170525;000000;1.1217900;1.1250400;1.1192700;1.1209800;1467578
EURUSD;D;20170526;000000;1.1209800;1.1234700;1.1159000;1.1181000;1495156
EURUSD;D;20170527;000000;1.1182000;1.1182000;1.1177000;1.1177000;49
EURUSD;D;20170528;000000;1.1180900;1.1180900;1.1165000;1.1169100;783
EURUSD;D;20170529;000000;1.1177100;1.1190000;1.1159000;1.1162100;1027734
EURUSD;D;20170530;000000;1.1164900;1.1205500;1.1107000;1.1186000;1636514
EURUSD;D;20170531;000000;1.1186000;1.1252300;1.1162000;1.1243100;1505965
EURUSD;D;20170601;000000;1.1243200;1.1256800;1.1200000;1.1212400;1417344
EURUSD;D;20170602;000000;1.1212100;1.1285100;1.1203000;1.1282500;1412417
EURUSD;D;20170603;000000;1.1282500;1.1282500;1.1279000;1.1279000;2
EURUSD;D;20170604;000000;1.1273000;1.1282000;1.1268000;1.1271000;371
EURUSD;D;20170605;000000;1.1271000;1.1283900;1.1233000;1.1254100;1328323
EURUSD;D;20170606;000000;1.1254000;1.1284300;1.1238000;1.1276200;1445920
EURUSD;D;20170607;000000;1.1274900;1.1282600;1.1202000;1.1255600;1472945
EURUSD;D;20170608;000000;1.1255600;1.1270000;1.1194000;1.1214000;1642561
EURUSD;D;20170609;000000;1.1211900;1.1237100;1.1164000;1.1194200;1797176
EURUSD;D;20170610;000000;1.1194200;1.1194200;1.1194000;1.1194000;2
EURUSD;D;20170611;000000;1.1198000;1.1213000;1.1191000;1.1207000;3192
EURUSD;D;20170612;000000;1.1206700;1.1232200;1.1190200;1.1202200;1247773
EURUSD;D;20170613;000000;1.1200300;1.1225000;1.1183200;1.1210200;1230953
EURUSD;D;20170614;000000;1.1209400;1.1296000;1.1192000;1.1216400;1906484
EURUSD;D;20170615;000000;1.1216400;1.1228600;1.1130000;1.1143700;1694327
EURUSD;D;20170616;000000;1.1142700;1.1201800;1.1136400;1.1195300;1352454
EURUSD;D;20170617;000000;1.1195000;1.1196000;1.1182000;1.1183700;74
EURUSD;D;20170618;000000;1.1194200;1.1212000;1.1194200;1.1204000;519
EURUSD;D;20170619;000000;1.1205400;1.1212900;1.1142000;1.1147600;1311252
EURUSD;D;20170620;000000;1.1148500;1.1165000;1.1116800;1.1133600;1418434
EURUSD;D;20170621;000000;1.1132800;1.1169000;1.1125900;1.1167700;1209308
EURUSD;D;20170622;000000;1.1167700;1.1180000;1.1137600;1.1150700;1326600
EURUSD;D;20170623;000000;1.1151400;1.1210000;1.1143000;1.1193400;887699
EURUSD;D;20170624;000000;1.1192000;1.1192000;1.1183000;1.1183000;24
EURUSD;D;20170625;000000;1.1199000;1.1200800;1.1192000;1.1196300;756
EURUSD;D;20170626;000000;1.1196200;1.1220000;1.1170000;1.1180100;1332091
EURUSD;D;20170627;000000;1.1181600;1.1349500;1.1177000;1.1338200;1706065
EURUSD;D;20170628;000000;1.1338200;1.1391000;1.1290800;1.1376500;2035486
EURUSD;D;20170629;000000;1.1376900;1.1445600;1.1372000;1.1440000;1856381
EURUSD;D;20170630;000000;1.1440000;1.1445400;1.1390200;1.1425000;1667219
EURUSD;D;20170701;000000;1.1425300;1.1432000;1.1423000;1.1427000;172
EURUSD;D;20170702;000000;1.1418000;1.1422800;1.1410300;1.1415000;4503
EURUSD;D;20170703;000000;1.1418600;1.1426700;1.1353200;1.1363400;1388341
EURUSD;D;20170704;000000;1.1363100;1.1377100;1.1334400;1.1345000;1284267
EURUSD;D;20170705;000000;1.1344000;1.1370000;1.1311000;1.1350700;1586037
EURUSD;D;20170706;000000;1.1350700;1.1425000;1.1327900;1.1421700;1637230
EURUSD;D;20170707;000000;1.1421200;1.1440000;1.1378200;1.1399600;1601252
EURUSD;D;20170708;000000;1.1400000;1.1401000;1.1398000;1.1398000;22
EURUSD;D;20170709;000000;1.1390000;1.1399300;1.1388000;1.1395600;2724
EURUSD;D;20170710;000000;1.1398800;1.1420000;1.1380000;1.1398600;1175940
EURUSD;D;20170711;000000;1.1398200;1.1479700;1.1380800;1.1467400;1420410
EURUSD;D;20170712;000000;1.1465400;1.1489600;1.1390800;1.1411000;1811645
EURUSD;D;20170713;000000;1.1411100;1.1455900;1.1369000;1.1396400;1673869
EURUSD;D;20170714;000000;1.1396900;1.1471900;1.1390000;1.1468600;1535425
EURUSD;D;20170715;000000;1.1467400;1.1472000;1.1461000;1.1461300;186
EURUSD;D;20170716;000000;1.1462000;1.1474000;1.1458900;1.1472300;4450
EURUSD;D;20170717;000000;1.1473100;1.1490000;1.1433000;1.1477500;1299084
EURUSD;D;20170718;000000;1.1477200;1.1583400;1.1469400;1.1552600;1857943
EURUSD;D;20170719;000000;1.1553100;1.1556300;1.1509000;1.1513600;1392288
EURUSD;D;20170720;000000;1.1514600;1.1658200;1.1477600;1.1628800;2003959
EURUSD;D;20170721;000000;1.1628200;1.1683000;1.1617000;1.1660000;1584457
EURUSD;D;20170722;000000;1.1659000;1.1661000;1.1658000;1.1659000;28
EURUSD;D;20170723;000000;1.1658000;1.1668000;1.1657000;1.1664000;3509
EURUSD;D;20170724;000000;1.1662000;1.1684300;1.1625000;1.1640300;1383707
EURUSD;D;20170725;000000;1.1640000;1.1712200;1.1629000;1.1646000;1563131
EURUSD;D;20170726;000000;1.1645600;1.1740100;1.1612000;1.1732000;1776130
EURUSD;D;20170727;000000;1.1732600;1.1776800;1.1648600;1.1674500;1876533
EURUSD;D;20170728;000000;1.1676000;1.1764200;1.1670000;1.1747800;1693956
EURUSD;D;20170729;000000;1.1751000;1.1751000;1.1751000;1.1751000;1
EURUSD;D;20170730;000000;1.1735000;1.1752000;1.1733000;1.1745600;1188
EURUSD;D;20170731;000000;1.1750000;1.1845700;1.1721300;1.1841000;1586996
EURUSD;D;20170801;000000;1.1840800;1.1844700;1.1784300;1.1800900;1673181
EURUSD;D;20170802;000000;1.1800800;1.1910300;1.1792000;1.1855400;1646637
EURUSD;D;20170803;000000;1.1855000;1.1893100;1.1828600;1.1868900;1593882
EURUSD;D;20170804;000000;1.1867300;1.1890000;1.1727400;1.1770600;1598080
EURUSD;D;20170805;000000;1.1769000;1.1777000;1.1769000;1.1772000;83
EURUSD;D;20170806;000000;1.1766000;1.1779000;1.1764300;1.1771000;4185
EURUSD;D;20170807;000000;1.1771800;1.1814300;1.1768700;1.1794300;1267127
EURUSD;D;20170808;000000;1.1794300;1.1824000;1.1714000;1.1750900;1444269
EURUSD;D;20170809;000000;1.1750900;1.1764000;1.1687800;1.1758600;1702871
EURUSD;D;20170810;000000;1.1758200;1.1785500;1.1702400;1.1771400;1618342
EURUSD;D;20170811;000000;1.1770300;1.1847200;1.1746900;1.1819800;1619327
EURUSD;D;20170812;000000;1.1819500;1.1826000;1.1819500;1.1824100;25
EURUSD;D;20170813;000000;1.1805000;1.1826800;1.1805000;1.1818700;1569
EURUSD;D;20170814;000000;1.1822200;1.1840000;1.1769000;1.1777900;1373221
EURUSD;D;20170815;000000;1.1778500;1.1792800;1.1686000;1.1733500;1455909
EURUSD;D;20170816;000000;1.1732700;1.1778800;1.1680800;1.1766400;1688656
EURUSD;D;20170817;000000;1.1766000;1.1790000;1.1661500;1.1722600;1854515
EURUSD;D;20170818;000000;1.1721600;1.1774600;1.1707000;1.1758600;1728820
EURUSD;D;20170819;000000;1.1757000;1.1765000;1.1755900;1.1760000;93
EURUSD;D;20170820;000000;1.1758200;1.1764000;1.1753000;1.1755600;1413
EURUSD;D;20170821;000000;1.1760500;1.1828200;1.1729400;1.1814500;1312250
EURUSD;D;20170822;000000;1.1813200;1.1824400;1.1743500;1.1760500;1409754
EURUSD;D;20170823;000000;1.1760700;1.1823200;1.1739200;1.1806000;1417203
EURUSD;D;20170824;000000;1.1805700;1.1817800;1.1782600;1.1798700;1452623
EURUSD;D;20170825;000000;1.1798600;1.1941500;1.1772000;1.1921900;1705368
EURUSD;D;20170826;000000;1.1928000;1.1928000;1.1918300;1.1924000;73
EURUSD;D;20170827;000000;1.1931000;1.1962000;1.1928500;1.1943600;4403
EURUSD;D;20170828;000000;1.1943500;1.1983800;1.1915000;1.1978300;1281231
EURUSD;D;20170829;000000;1.1978600;1.2070400;1.1945000;1.1971000;1982681
EURUSD;D;20170830;000000;1.1971600;1.1984500;1.1879000;1.1882800;1611805
EURUSD;D;20170831;000000;1.1883600;1.1912800;1.1821000;1.1908900;1674727
EURUSD;D;20170901;000000;1.1909300;1.1979800;1.1848800;1.1858000;1672466
EURUSD;D;20170902;000000;1.1857000;1.1857000;1.1857000;1.1857000;2
EURUSD;D;20170903;000000;1.1857000;1.1887300;1.1851300;1.1880600;4613
EURUSD;D;20170904;000000;1.1884300;1.1922100;1.1872300;1.1896500;1197928
EURUSD;D;20170905;000000;1.1894000;1.1940800;1.1867000;1.1913500;1689403
EURUSD;D;20170906;000000;1.1911200;1.1950400;1.1902000;1.1916600;1683048
EURUSD;D;20170907;000000;1.1915800;1.2059700;1.1913000;1.2020000;1894644
EURUSD;D;20170908;000000;1.2022800;1.2092400;1.2013000;1.2033400;1846447
EURUSD;D;20170909;000000;1.2035000;1.2035000;1.2035000;1.2035000;1
EURUSD;D;20170910;000000;1.2039000;1.2039000;1.2007000;1.2016000;3480
EURUSD;D;20170911;000000;1.2016000;1.2030000;1.1946000;1.1952100;1456485
EURUSD;D;20170912;000000;1.1951900;1.1978200;1.1925000;1.1965500;1423225
EURUSD;D;20170913;000000;1.1966500;1.1994900;1.1871000;1.1884600;1550159
EURUSD;D;20170914;000000;1.1885200;1.1922500;1.1837000;1.1918500;1694392
EURUSD;D;20170915;000000;1.1918200;1.1987200;1.1900000;1.1942500;1732563
EURUSD;D;20170916;000000;1.1941900;1.1945400;1.1941700;1.1941800;58
EURUSD;D;20170917;000000;1.1944200;1.1947000;1.1917900;1.1919400;1873
EURUSD;D;20170918;000000;1.1919300;1.1970000;1.1913000;1.1950500;1506752
EURUSD;D;20170919;000000;1.1953500;1.2006700;1.1948000;1.1994000;1621710
EURUSD;D;20170920;000000;1.1994400;1.2034100;1.1860000;1.1890600;1846318
EURUSD;D;20170921;000000;1.1892300;1.1953800;1.1864000;1.1940300;1651024
EURUSD;D;20170922;000000;1.1940300;1.2004600;1.1935000;1.1946900;1351736
EURUSD;D;20170923;000000;1.1945900;1.1951000;1.1945900;1.1951000;2
EURUSD;D;20170924;000000;1.1951000;1.1960000;1.1894700;1.1897600;5806
EURUSD;D;20170925;000000;1.1897500;1.1936600;1.1831000;1.1848100;1474730
EURUSD;D;20170926;000000;1.1846400;1.1861600;1.1756000;1.1791500;1551911
EURUSD;D;20170927;000000;1.1791900;1.1795400;1.1716000;1.1744700;1532503
EURUSD;D;20170928;000000;1.1744400;1.1804100;1.1720000;1.1784900;1526418
EURUSD;D;20170929;000000;1.1784700;1.1832500;1.1770000;1.1812800;1391607
EURUSD;D;20170930;000000;1.1813000;1.1813000;1.1813000;1.1813000;1
EURUSD;D;20171001;000000;1.1813000;1.1816000;1.1775000;1.1790200;1538
EURUSD;D;20171002;000000;1.1790100;1.1815100;1.1728000;1.1731300;1406639
EURUSD;D;20171003;000000;1.1731500;1.1773600;1.1695000;1.1742000;1313059
EURUSD;D;20171004;000000;1.1743300;1.1787800;1.1734000;1.1759000;1344291
EURUSD;D;20171005;000000;1.1757200;1.1780000;1.1698000;1.1710100;1249368
EURUSD;D;20171006;000000;1.1710700;1.1740000;1.1668000;1.1729900;1452483
EURUSD;D;20171007;000000;1.1727600;1.1729300;1.1725900;1.1725900;46
EURUSD;D;20171008;000000;1.1734000;1.1736200;1.1714000;1.1726600;4513
EURUSD;D;20171009;000000;1.1733700;1.1756100;1.1718000;1.1739300;807321
EURUSD;D;20171010;000000;1.1739700;1.1825500;1.1737000;1.1807000;1316670
EURUSD;D;20171011;000000;1.1807900;1.1869200;1.1794000;1.1858000;1395855
EURUSD;D;20171012;000000;1.1856700;1.1880000;1.1826000;1.1829300;1335865
EURUSD;D;20171013;000000;1.1829400;1.1875000;1.1804000;1.1819900;1382387
EURUSD;D;20171015;000000;1.1820000;1.1823000;1.1809000;1.1810000;2434
EURUSD;D;20171016;000000;1.1810400;1.1820000;1.1779000;1.1795900;1261358
EURUSD;D;20171017;000000;1.1795500;1.1800200;1.1735000;1.1765500;1298224
EURUSD;D;20171018;000000;1.1765800;1.1805400;1.1729000;1.1787000;1344274
EURUSD;D;20171019;000000;1.1786800;1.1860000;1.1767000;1.1851000;1587822
EURUSD;D;20171020;000000;1.1852200;1.1858000;1.1761000;1.1783000;1519585
EURUSD;D;20171021;000000;1.1783000;1.1783000;1.1783000;1.1783000;1
EURUSD;D;20171022;000000;1.1771000;1.1778000;1.1757000;1.1763100;1806
EURUSD;D;20171023;000000;1.1763000;1.1780000;1.1724000;1.1749400;1262525
EURUSD;D;20171024;000000;1.1749300;1.1793000;1.1741000;1.1761700;1282729
EURUSD;D;20171025;000000;1.1760900;1.1817900;1.1751000;1.1812000;1540608
EURUSD;D;20171026;000000;1.1812100;1.1836900;1.1639000;1.1650000;1603076
EURUSD;D;20171027;000000;1.1648600;1.1657300;1.1572000;1.1608200;1630609
EURUSD;D;20171028;000000;1.1606000;1.1606000;1.1606000;1.1606000;1
EURUSD;D;20171029;000000;1.1600000;1.1615000;1.1598000;1.1605700;4791
EURUSD;D;20171030;000000;1.1605600;1.1658000;1.1592000;1.1649000;1313673
EURUSD;D;20171031;000000;1.1650300;1.1661500;1.1623000;1.1645800;1291508
EURUSD;D;20171101;000000;1.1645400;1.1657400;1.1605000;1.1618100;1487942
EURUSD;D;20171102;000000;1.1617400;1.1687300;1.1612000;1.1657900;1616995
EURUSD;D;20171103;000000;1.1657900;1.1691500;1.1597000;1.1606000;1304783
EURUSD;D;20171104;000000;1.1606000;1.1606000;1.1605000;1.1605000;6
EURUSD;D;20171105;000000;1.1607000;1.1619000;1.1605600;1.1611000;2733
EURUSD;D;20171106;000000;1.1615100;1.1624100;1.1579000;1.1609200;1233623
EURUSD;D;20171107;000000;1.1608400;1.1615500;1.1553000;1.1590200;1270913
EURUSD;D;20171108;000000;1.1590300;1.1611200;1.1578000;1.1598000;1121896
EURUSD;D;20171109;000000;1.1598300;1.1654900;1.1584000;1.1641900;1461964
EURUSD;D;20171110;000000;1.1642400;1.1680000;1.1621000;1.1665000;1205215
EURUSD;D;20171111;000000;1.1665000;1.1668800;1.1660500;1.1663000;22736
EURUSD;D;20171112;000000;1.1665000;1.1668000;1.1650100;1.1652000;3914
EURUSD;D;20171113;000000;1.1650900;1.1675300;1.1636000;1.1668300;1077078
EURUSD;D;20171114;000000;1.1668200;1.1805100;1.1660000;1.1792900;1208578
EURUSD;D;20171115;000000;1.1793000;1.1860700;1.1783000;1.1791900;1546770
EURUSD;D;20171116;000000;1.1792300;1.1801000;1.1756000;1.1770100;1339002
EURUSD;D;20171117;000000;1.1770100;1.1821800;1.1764000;1.1794600;1445438
EURUSD;D;20171118;000000;1.1794500;1.1794800;1.1785000;1.1787500;35370
EURUSD;D;20171119;000000;1.1787000;1.1790800;1.1774000;1.1784000;2605
EURUSD;D;20171120;000000;1.1785000;1.1810000;1.1721000;1.1729000;1452282
EURUSD;D;20171121;000000;1.1728900;1.1757800;1.1712000;1.1738200;1276417
EURUSD;D;20171122;000000;1.1738700;1.1827000;1.1730700;1.1819600;1257551
EURUSD;D;20171123;000000;1.1819300;1.1856000;1.1812000;1.1850700;973311
EURUSD;D;20171124;000000;1.1850600;1.1944400;1.1835000;1.1930600;1086020
EURUSD;D;20171125;000000;1.1930500;1.1938800;1.1925800;1.1931000;52514
EURUSD;D;20171126;000000;1.1931000;1.1941000;1.1918000;1.1938800;606
EURUSD;D;20171127;000000;1.1941000;1.1961200;1.1894000;1.1899400;1267518
EURUSD;D;20171128;000000;1.1899400;1.1920000;1.1826000;1.1841200;1594480
EURUSD;D;20171129;000000;1.1841300;1.1882900;1.1816000;1.1850900;1488369
EURUSD;D;20171130;000000;1.1851300;1.1931600;1.1808000;1.1901900;1584129
EURUSD;D;20171201;000000;1.1902100;1.1940300;1.1849000;1.1891000;2006119
EURUSD;D;20171202;000000;1.1890800;1.1900200;1.1889600;1.1897100;29166
EURUSD;D;20171203;000000;1.1885000;1.1885000;1.1848000;1.1854200;5423
EURUSD;D;20171204;000000;1.1854100;1.1880000;1.1828000;1.1856000;1438450
EURUSD;D;20171205;000000;1.1856000;1.1876800;1.1799000;1.1823000;1471176
EURUSD;D;20171206;000000;1.1823700;1.1848100;1.1779000;1.1795300;1376094
EURUSD;D;20171207;000000;1.1795600;1.1814700;1.1771000;1.1774500;1280257
EURUSD;D;20171208;000000;1.1774400;1.1776600;1.1729000;1.1764500;1348555
EURUSD;D;20171209;000000;1.1764600;1.1774200;1.1762800;1.1768600;30567
EURUSD;D;20171210;000000;1.1766000;1.1769000;1.1758900;1.1760000;3323
EURUSD;D;20171211;000000;1.1761600;1.1811800;1.1758600;1.1772800;1058268
EURUSD;D;20171212;000000;1.1772700;1.1792700;1.1716000;1.1744700;1204943
EURUSD;D;20171213;000000;1.1744900;1.1826000;1.1728000;1.1824800;1222384
EURUSD;D;20171214;000000;1.1824600;1.1862700;1.1769000;1.1786800;1546903
EURUSD;D;20171215;000000;1.1787100;1.1812400;1.1749000;1.1753900;1369287
EURUSD;D;20171216;000000;1.1753900;1.1756100;1.1745500;1.1749000;38986
EURUSD;D;20171217;000000;1.1749000;1.1752300;1.1735000;1.1739400;4817
EURUSD;D;20171218;000000;1.1743300;1.1834300;1.1736000;1.1780700;1243014
EURUSD;D;20171219;000000;1.1781100;1.1849000;1.1775000;1.1840400;1385417
EURUSD;D;20171220;000000;1.1840500;1.1901800;1.1827000;1.1878300;1340748
EURUSD;D;20171221;000000;1.1878100;1.1890000;1.1848000;1.1876500;1285829
EURUSD;D;20171222;000000;1.1876700;1.1878200;1.1815600;1.1858000;1317411
EURUSD;D;20171223;000000;1.1857500;1.1864000;1.1854000;1.1860000;46196
EURUSD;D;20171224;000000;1.1862000;1.1862000;1.1858000;1.1858000;41
EURUSD;D;20171225;000000;1.1858000;1.1881000;1.1842300;1.1869000;52435
EURUSD;D;20171226;000000;1.1867000;1.1878700;1.1845000;1.1862700;623250
EURUSD;D;20171227;000000;1.1862700;1.1910400;1.1853300;1.1894400;1092287
EURUSD;D;20171228;000000;1.1894300;1.1959100;1.1883000;1.1940400;1119234
EURUSD;D;20171229;000000;1.1940200;1.2025500;1.1934800;1.1997300;1147376
EURUSD;D;20171230;000000;1.1997500;1.2007600;1.1991400;1.1994000;28671
EURUSD;D;20180101;000000;1.1996600;1.2010900;1.1991200;1.1995000;855
EURUSD;D;20180102;000000;1.1995000;1.2081300;1.1995000;1.2059000;1181595
EURUSD;D;20180103;000000;1.2059300;1.2066300;1.2000000;1.2012500;1248914
EURUSD;D;20180104;000000;1.2012300;1.2090000;1.2002800;1.2068600;1358935
EURUSD;D;20180105;000000;1.2068400;1.2082800;1.2019000;1.2041800;1295345
EURUSD;D;20180106;000000;1.2041800;1.2042500;1.2022000;1.2026000;34738
EURUSD;D;20180107;000000;1.2029100;1.2034000;1.2014000;1.2024600;4302
EURUSD;D;20180108;000000;1.2024500;1.2052300;1.1954000;1.1967000;1139624
EURUSD;D;20180109;000000;1.1966800;1.1975700;1.1914000;1.1937600;1297473
EURUSD;D;20180110;000000;1.1936000;1.2018100;1.1922000;1.1956700;1723320
EURUSD;D;20180111;000000;1.1956600;1.2060000;1.1928000;1.2030600;1707505
EURUSD;D;20180112;000000;1.2030500;1.2188700;1.2027000;1.2187000;1924072
EURUSD;D;20180113;000000;1.2186900;1.2218800;1.2186000;1.2199100;63740
EURUSD;D;20180114;000000;1.2197800;1.2206000;1.2187200;1.2195200;4341
EURUSD;D;20180115;000000;1.2195100;1.2296700;1.2186000;1.2269400;1535334
EURUSD;D;20180116;000000;1.2269100;1.2283500;1.2194000;1.2266400;1869762
EURUSD;D;20180117;000000;1.2265000;1.2323200;1.2195000;1.2212800;2154819
EURUSD;D;20180118;000000;1.2212800;1.2264900;1.2163800;1.2238600;1929062
EURUSD;D;20180119;000000;1.2238600;1.2295400;1.2217000;1.2220700;1824055
EURUSD;D;20180120;000000;1.2220700;1.2233800;1.2213000;1.2219500;71645
EURUSD;D;20180121;000000;1.2261000;1.2273000;1.2259000;1.2269100;5913
EURUSD;D;20180122;000000;1.2269000;1.2274000;1.2213000;1.2258400;1531784
EURUSD;D;20180123;000000;1.2258300;1.2306300;1.2221900;1.2293700;1797689
EURUSD;D;20180124;000000;1.2293600;1.2414900;1.2289800;1.2398100;2042490
